Address,Latitude,Longitude
"Santa Claus, IN, 47579, USA",38.112712,-86.9173327
"1970 Broadway St, Clarksville, IN, 47129-7760, USA",38.327984,-85.7619785
"501 E Court Ave # 159, Jeffersonville, IN, 47130-4091, USA",38.2773613,-85.7368853
"230 E Montgomery Ave, Clarksville, IN, 47129-3236, USA",38.278314,-85.7570116
"500 QUARTERMASTER CT, Jeffersonville, IN, 47130-4029, USA",38.2834798,-85.7406265
"111 W MAIN ST, BORDEN, IN, 47106, USA",38.4682375,-85.94745
"701 Main St, Charlestown, IN, 47111-1217, USA",38.4424638,-85.6631738
"101 S NEW ALBANY STREET, Sellersburg, IN, 47172-1531, USA",38.3977809,-85.754608
"107 N 4TH ST, UTICA, IN, 47130, USA",38.3363836,-85.6528198
"7582 Church Lane, St Leon, IN, 47012, USA",39.2919974,-84.9580121
"13030 EXECUTIVE DR, Dillsboro, IN, 47018-9303, USA",39.0217649,-85.0617019
"301 W High St, Lawrenceburg, IN, 47025-1911, USA",39.0910973,-84.8510312
"Moores Hill, IN, USA",39.1133882,-85.0880122
"480 Ludlow St, Lawrenceburg, IN, 47025-1533, USA",39.1100517,-84.8639971
"349 Walnut St, Lawrenceburg, IN, 47025-1841, USA",39.0948006,-84.8510549
"23759 Brightwood Dr, Lawrenceburg, IN, 47025, USA",39.2140464,-84.8587885
"14687 Main St, Moores Hill, IN, 47032-9162, USA",39.1123012,-85.0923675
"233 MAIN ST, Aurora, IN, 47001-1308, USA",39.0554758,-84.8999418
"19325 Schmarr Dr, Lawrenceburg, IN, 47025, USA",39.153405,-84.8374891
"371 Main St, Brookville, IN, 47012-1363, USA",39.4182961,-85.012423
"Water Street, Oldenburg, IN, 47036-0085, USA",39.3392269,-85.2003275
"462 Main St, Brookville, IN, 47012-1406, USA",39.4193555,-85.0129429
"Pearl, Laurel, IN, 47024-0000, USA",39.5006459,-85.18614
"4900 Shamrock Dr Suite 105, Evansville, IN, 47715-2219, USA",37.9719202,-87.4915782
"5600 Kansas Rd, Evansville, IN, 47725-7600, USA",38.0646754,-87.4824726
"619 N Main St, Evansville, IN, 47711-5421, USA",37.9836307,-87.5635221
"3500 N. Harlan Ave, Evansville, IN, 47711, USA",38.0116003,-87.5422124
"5607 North Highway 41, Evansville, IN, 47711, USA",38.0363496,-87.5389575
"315 Taylor Av, Evansville, IN, 47713-1309, USA",37.9566382,-87.5606936
"1 NW Martin Luther King Jr. Blvd, Evansville, IN, 47708, USA",37.9736706,-87.5673156
"1505 North Third Ave., Evansville, IN, 47711, USA",37.9917777,-87.5771601
"225 S Commercial St, Worthington, IN, 47471-1704, USA",39.1211081,-86.9746016
"145 S Lawton St, Jasonville, IN, 47438-1404, USA",39.1624225,-87.2003478
"12 E Main St, Bloomfield, IN, 47424-1418, USA",39.026942,-86.9382129
"190 A St NW, Linton, IN, 47441-1727, USA",39.0352299,-87.1679592
"204 CR 70E, Bloomfield, IN, 47424-0000, USA",39.0250938,-86.9270937
"150 E Broad St, Lyons, IN, 47443, USA",38.9887262,-87.080883
"653 Locust St, Middletown, IN, 47356-1436, USA",40.0539747,-85.5356189
"SULPHUR SPRINGS, IN, 47388, USA",40.0065381,-85.4407811
"212 S Main St, Shirley, IN, 47384-9687, USA",39.8903633,-85.5763807
"130 E Main St, Spiceland, IN, 47385-0000, USA",39.8386062,-85.4377589
"127 N 12th St, New Castle, IN, 47362-4524, USA",39.9320192,-85.3723166
"101 E Charles St, Mooreland, IN, 47360-0000, USA",39.9974758,-85.24979
"24 S Washington St, Knightstown, IN, 46148-1277, USA",39.7949223,-85.5249176
"BROAD ST, New Castle, IN, 47362-0000, USA",39.9312157,-85.367525
"227 N Main St, New Castle, IN, 47362-4241, USA",39.9329545,-85.3706624
"Corner Of Brown St & Perry St, Vernon, IN, 47282-0000, USA",38.9854573,-85.608046
"101 Madison Ave, North Vernon, IN, 47265-0000, USA",39.0064962,-85.6252186
"100 Broadway, Oaktown, IN, 47561, USA",38.8712409,-87.4405012
"135 N 8th St, Vincennes, IN, 47591-2917, USA",38.6759132,-87.5264993
"119 E 2nd St, Bicknell, IN, 47512, USA",38.7738454,-87.306711
"501 Busseron St, Vincennes, IN, 47591-2917, USA",38.6776713,-87.5291533
"Capital Ave, Shoals, IN, 47581-0000, USA",38.6697034,-86.7974949
"201 Water Street, Shoals, IN, 47581-0000, USA",38.665985,-86.79333
"401 N John F Kennedy Ave, Loogootee, IN, 47553-1220, USA",38.6786642,-86.9159625
"300 S Poplar St, Rising Sun, IN, 47040-1257, USA",38.9462094,-84.8551846
"123 S Mulberry St, Rising Sun, IN, 47040-1117, USA",38.9500738,-84.8565895
"217 E Ohio St, Rockville, IN, 47872-1830, USA",39.7623205,-87.2252276
